LEA_NAME,STATE,ZIP,OP
Montgomery County,ALABAMA,36102,52
Morgan County,ALABAMA,35603,19
Mountain Brook City,ALABAMA,35213,6
Muscle Shoals City,ALABAMA,35662,7
Oneonta City,ALABAMA,35121,3
Opelika City,ALABAMA,36801,9
Opp City,ALABAMA,36467,3
Oxford City,ALABAMA,36203,7
Ozark City,ALABAMA,36360,6
Pell City,ALABAMA,35125,8
Perry County,ALABAMA,36756,2
Phenix City,ALABAMA,36868,12
Pickens County,ALABAMA,35447,7
Piedmont City,ALABAMA,36272,3
Pike County,ALABAMA,36081,7
Randolph County,ALABAMA,36278,8
Roanoke City,ALABAMA,36274,4
Russell County,ALABAMA,36868,8
Russellville City,ALABAMA,35653,5
Scottsboro City,ALABAMA,35768,5
Selma City,ALABAMA,36702,11
Sheffield City,ALABAMA,35660,4
Shelby County,ALABAMA,35051,31
St Clair County,ALABAMA,35953,20
Sumter County,ALABAMA,35470,5
Sylacauga City,ALABAMA,35150,4
Talladega City,ALABAMA,35161,7
Talladega County,ALABAMA,35161,18
Tallapoosa County,ALABAMA,36853,6
Tallassee City,ALABAMA,36078,3
Tarrant City,ALABAMA,35217,3
Thomasville City,ALABAMA,36784,2
Troy City,ALABAMA,36081,4
Tuscaloosa City,ALABAMA,35403,20
Tuscaloosa County,ALABAMA,35403,35
Tuscumbia City,ALABAMA,35674,6
Vestavia Hills City,ALABAMA,35266,8
Walker County,ALABAMA,35502,18
Washington County,ALABAMA,36518,8
Wilcox County,ALABAMA,36726,6
Winfield City,ALABAMA,35594,3
Winston County,ALABAMA,35553,10
Lower Kuskokwim School District,ALASKA,99559,29
Lower Yukon School District,ALASKA,99632,10
Yupiit School District,ALASKA,99551,3
Kashunamiut School District,ALASKA,99563,1
Mount Edgecumbe High School Agency,ALASKA,99835,1
Aleutians East Borough School District,ALASKA,99661,4
Aleutian Region School District,ALASKA,99509,2
Bering Strait School District,ALASKA,99684,15
Bristol Bay Borough School District,ALASKA,99633,3
Alaska Gateway School District,ALASKA,99780,8
Cordova City School District,ALASKA,99574,3
Copper River School District,ALASKA,99588,5
Craig City School District,ALASKA,99921,4
Delta-Greely School District,ALASKA,99737,5
Dillingham City School District,ALASKA,99576,3
Galena City School District,ALASKA,99741,4
Ketchikan Gateway Borough School District,ALASKA,99901,9
Anchorage School District,ALASKA,99504,99
Juneau Borough School District,ALASKA,99801,15
Sitka School District,ALASKA,99835,6
Haines Borough School District,ALASKA,99827,3
Hoonah City School District,ALASKA,99829,1
Hydaburg City School District,ALASKA,99922,2
Kake City School District,ALASKA,99830,1
Kenai Peninsula Borough School District,ALASKA,99669,43
Klawock City School District,ALASKA,99925,1
Kodiak Island Borough School District,ALASKA,99615,12
Lake and Peninsula Borough School District,ALASKA,99613,13
Matanuska-Susitna Borough School District,ALASKA,99645,47
Iditarod Area School District,ALASKA,99627,8
Annette Island School District,ALASKA,99926,3
Nenana City School District,ALASKA,99760,2
Nome Public Schools,ALASKA,99762,4
Fairbanks North Star Borough School District,ALASKA,99701,37
North Slope Borough School District,ALASKA,99723,11
Northwest Arctic Borough School District,ALASKA,99752,13
Pelican City School District,ALASKA,99832,1
Petersburg Borough School District,ALASKA,99833,3
Pribilof School District,ALASKA,99660,2
Saint Mary's School District,ALASKA,99658,1
Skagway School District,ALASKA,99840,1
Southeast Island School District,ALASKA,99919,9
Southwest Region School District,ALASKA,99576,8
Tanana City School District,ALASKA,99777,1
Unalaska City School District,ALASKA,99685,2
Chatham School District,ALASKA,99820,4
Kuspuk School District,ALASKA,99557,9
Denali Borough School District,ALASKA,99743,4
Yukon Flats School District,ALASKA,99740,7
Valdez City School District,ALASKA,99686,4
Chugach School District,ALASKA,99507,4
