LEA_NAME,STATE,ZIP,OP
Willow Creek Elementary,CALIFORNIA,96064,1
Willow Grove Union Elementary,CALIFORNIA,95043,1
Willows Unified,CALIFORNIA,95988,4
Wilmar Union Elementary,CALIFORNIA,94952,1
Wilsona Elementary,CALIFORNIA,93591,3
Winship-Robbins,CALIFORNIA,95676,1
Winters Joint Unified,CALIFORNIA,95694,5
Winton,CALIFORNIA,95388,4
Woodland Joint Unified,CALIFORNIA,95695,19
Woodside Elementary,CALIFORNIA,94062,1
Woodville Union Elementary,CALIFORNIA,93257,1
Wright Elementary,CALIFORNIA,95407,3
Yreka Union Elementary,CALIFORNIA,96097,3
Yreka Union High,CALIFORNIA,96097,3
Yuba City Unified,CALIFORNIA,95991,18
Yucaipa-Calimesa Joint Unified,CALIFORNIA,92399,14
Irvine Unified,CALIFORNIA,92604,43
Amador County Office of Education,CALIFORNIA,95642,2
Butte County Office of Education,CALIFORNIA,95965,6
Calaveras County Office of Education,CALIFORNIA,95221,4
Colusa County Office of Education,CALIFORNIA,95932,2
Contra Costa County Office of Education,CALIFORNIA,94523,7
El Dorado County Office of Education,CALIFORNIA,95667,6
Fresno County Office of Education,CALIFORNIA,93721,4
Glenn County Office of Education,CALIFORNIA,95988,3
Humboldt County Office of Education,CALIFORNIA,95501,6
Imperial County Office of Education,CALIFORNIA,92243,4
Inyo County Office of Education,CALIFORNIA,93526,2
Kern County Office of Education,CALIFORNIA,93301,4
Kings County Office of Education,CALIFORNIA,93230,3
Lake County Office of Education,CALIFORNIA,95453,3
Lassen County Office of Education,CALIFORNIA,96130,3
Madera County Superintendent of Schools,CALIFORNIA,93637,5
Marin County Office of Education,CALIFORNIA,94913,4
Mendocino County Office of Education,CALIFORNIA,95482,3
Merced County Office of Education,CALIFORNIA,95341,8
Monterey County Office of Education,CALIFORNIA,93912,4
Napa County Office of Education,CALIFORNIA,94559,3
Nevada County Office of Education,CALIFORNIA,95945,8
Orange County Department of Education,CALIFORNIA,92628,5
Placer County Office of Education,CALIFORNIA,95603,5
Riverside County Office of Education,CALIFORNIA,92502,5
Sacramento County Office of Education,CALIFORNIA,95826,7
San Benito County Office of Education,CALIFORNIA,95023,4
San Bernardino County Office of Education,CALIFORNIA,92415,3
San Diego County Office of Education,CALIFORNIA,92111,8
San Joaquin County Office of Education,CALIFORNIA,95213,3
San Luis Obispo County Office of Education,CALIFORNIA,93405,4
San Mateo County Office of Education,CALIFORNIA,94065,5
Santa Barbara County Office of Education,CALIFORNIA,93160,3
Santa Clara County Office of Education,CALIFORNIA,95131,4
Santa Cruz County Office of Education,CALIFORNIA,95060,6
Shasta County Office of Education,CALIFORNIA,96001,4
Siskiyou County Office of Education,CALIFORNIA,96097,2
Sonoma County Office of Education,CALIFORNIA,95403,3
Stanislaus County Office of Education,CALIFORNIA,95354,5
Sutter County Office of Education,CALIFORNIA,95993,2
Tehama County Department of Education,CALIFORNIA,96080,4
Trinity County Office of Education,CALIFORNIA,96093,3
Tulare County Office of Education,CALIFORNIA,93278,5
Tuolumne County Superintendent of Schools,CALIFORNIA,95370,4
Ventura County Office of Education,CALIFORNIA,93012,5
Yuba County Office of Education,CALIFORNIA,95901,4
Yolo County Office of Education,CALIFORNIA,95776,3
Alameda County Office of Education,CALIFORNIA,94544,4
Mono County Office of Education,CALIFORNIA,93546,5
Alpine County Office of Education,CALIFORNIA,96120,1
Del Norte County Office of Education,CALIFORNIA,95531,3
Los Angeles County Office of Education,CALIFORNIA,90242,10
Mariposa County Office of Education,CALIFORNIA,95338,3
Modoc County Office of Education,CALIFORNIA,96101,1
Plumas County Office of Education,CALIFORNIA,95971,3
San Francisco County Office of Education,CALIFORNIA,94102,4
Sierra County Office of Education,CALIFORNIA,96118,1
Solano County Office of Education,CALIFORNIA,94534,3
Golden Plains Unified,CALIFORNIA,93660,6
Val Verde Unified,CALIFORNIA,92571,23
Aromas - San Juan Unified,CALIFORNIA,95045,3
Big Oak Flat-Groveland Unified,CALIFORNIA,95321,3
Cheyenne County School District No. Re-5,COLORADO,80810,2
DENVER 1,COLORADO,80222,1
Adams County BOCES,COLORADO,80234,0
Grand Valley BOCES,COLORADO,81505,0
Mt Evans BOCES,COLORADO,80427,0
Uncompahgre BOCES,COLORADO,81432,0
Santa Fe Trail BOCES,COLORADO,81050,0
Front Range BOCES,COLORADO,80303,0
Yuma 1 School District,COLORADO,80759,4
Wray RD-2 School District,COLORADO,80758,3
Idalia RJ-3 School District,COLORADO,80735,2
Liberty J-4 School District,COLORADO,80822,1
State Charter School Institute,COLORADO,80202,41
Ute Pass BOCES,COLORADO,80829,0
Colorado School for the Deaf and Blind,COLORADO,80903,1
El Paso 8 Fountain,COLORADO,80817,0
Pueblo 60 Urban,COLORADO,81003,0
Jefferson R-1,COLORADO,80401,0
El Paso 3 Widefield,COLORADO,80911,0
Arapahoe 6 Littleton,COLORADO,80120,0
El Paso 20 Academy,COLORADO,80920,0
Centennial BOCES,COLORADO,80634,0
Boulder Re-2 Boulder,COLORADO,80303,0
Arapahoe 2 Sheridan,COLORADO,80150,0
Northeast BOCES,COLORADO,80731,0
Department of Corrections,COLORADO,80906,0
El Paso 38 Lewis Palmer,COLORADO,80132,0
Division of Youth Services,COLORADO,80236,0
Fremont Re-1 Canon City,COLORADO,81212,0
East Central BOCES,COLORADO,80828,0
Logan Re-1 Valley,COLORADO,80751,0
El Paso 2 Harrison,COLORADO,80906,0
Adams 27J School District 27J,COLORADO,80601,0
Mt Evans BOCES,COLORADO,80452,0
Delta 50J,COLORADO,81416,0
Gunnison Re-1J,COLORADO,81230,0
South Central BOCES,COLORADO,81007,0
EL PASO COUNTY COLORADO SCHOOL DISTRICT 49,COLORADO,80908,0
Morgan Re-3 Fort Morgan,COLORADO,80701,0
Denver 1,COLORADO,80203,0
Mesa 51 Grand Junction,COLORADO,81505,0
Arapahoe 5 Cherry Creek,COLORADO,80111,0
Northwest BOCES,COLORADO,80477,0
Larimer R-1 Poudre,COLORADO,80521,0
Weld RE-4 Windsor,COLORADO,80550,0
Larimer R-2J Thompson,COLORADO,80537,0
San Juan BOCES,COLORADO,81301,0
Moffat Re-1 Craig,COLORADO,81625,0
Adams-Arap 28J Aurora,COLORADO,80011,0
Southeastern BOCES,COLORADO,81052,0
Westminster Public Schools,COLORADO,80030,0
Adams 1 Mapleton,COLORADO,80229,0
CMHI Pueblo,COLORADO,81003,0
Douglas RE-1,COLORADO,80104,0
San Luis Valley BOCES,COLORADO,81101,0
Uncompahgre BOCES,COLORADO,81432,0
Boulder RE-1J St Vrain,COLORADO,80501,0
El Paso 12 Cheyenne Mountain,COLORADO,80906,0
Fort Lupton/Keenesburg,COLORADO,80643,0
Charter School Institute,COLORADO,80203,0
Larimer R-3 Park,COLORADO,80517,0
Adams 12 Northglenn,COLORADO,80241,0
Montrose RE-1J,COLORADO,81401,0
Weld 6 Greeley,COLORADO,80631,0
Santa Fe Trail BOCES,COLORADO,81050,0
Adams 14 Commerce City,COLORADO,80022,0
Arapahoe 1 Englewood,COLORADO,80110,0
Mountain BOCES,COLORADO,81623,0
Ute Pass BOCES,COLORADO,80866,0
Pikes Peak BOCES,COLORADO,80915,0
Rio Blanco BOCES,COLORADO,81648,0
Pueblo 70 Rural,COLORADO,81006,0
El Paso 11 Colo Springs,COLORADO,80903,0
CSDB,COLORADO,80903,0
Weld RE-5J Johnstown-Milliken,COLORADO,80543,0
EDUCATION REENVISIONED BOCES,COLORADO,80132,4
Eagle County School District RE-50J,COLORADO,81631,0
Elizabeth School District,COLORADO,80107,0
Department of Corrections,COLORADO,80906,0
Division of Youth Services,COLORADO,80236,6
CMHI Pueblo,COLORADO,81003,0
Summit RE-1,COLORADO,80443,0
Aspen 1,COLORADO,81611,0
Durango 9-R,COLORADO,81301,0
Colorado River BOCES,COLORADO,81635,1
Colorado River BOCES,COLORADO,81635,0
Education reenvisioned boces.,COLORADO,80132,0
Academy School District No. 20 in the county of El Paso an,COLORADO,80920,40
School District N. 14 in the county of Adams & State of Colo,COLORADO,80022,13
Agate School District No. 300,COLORADO,80101,2
Aguilar Reorganized School District No. 6,COLORADO,81020,2
Akron School District No. R-1,COLORADO,80720,2
Alamosa School District No. Re-11J,COLORADO,81101,4
South Conejos School District No. Re10,COLORADO,81120,3
Archuleta County School District No. 50 Jt,COLORADO,81147,4
Arickaree School District No. R-2,COLORADO,80801,2
Arriba-Flagler Consolidated School District No. 20,COLORADO,80815,1
Aspen School District No. 1 in the county of Pitkin and Sta,COLORADO,81611,5
Weld County School District No. Re-9,COLORADO,80610,3
Aurora Joint District No. 28 of the counties of Adams and A,COLORADO,80011,64
Platte Canyon School District No. 1 of  the county of Park,COLORADO,80421,3
Bayfield School District No. 10Jt-R,COLORADO,81122,4
Bennett School District No. 29J,COLORADO,80102,5
Bethune School District No. R- 5,COLORADO,80805,1
Boulder Valley School District No. Re2,COLORADO,80301,56
Branson Reorganized School District No. 82,COLORADO,81027,2
School District No. Re-10 in the county of Weld and State o,COLORADO,80611,2
School District 27J,COLORADO,80601,29
School District No. Re-2 Brush,COLORADO,80723,4
Buena Vista School District No. R-31,COLORADO,81211,5
Burlington Public School District No. RE-6J,COLORADO,80807,3
Byers School District No. 32J,COLORADO,80103,11
Calhan District No. RJ1,COLORADO,80808,3
Campo School District No. Re-6,COLORADO,81029,2
Fremont Re-1,COLORADO,81212,8
Center Consolidated School District No. 26 Jt. of the count,COLORADO,81125,5
Cheraw School District No. 31 in the county of Otero and S,COLORADO,81030,1
Cherry Creek School District No. 5 in the county of Arapah,COLORADO,80111,70
Cheyenne Mountain School District No. 12 in the county of E,COLORADO,80905,11
Clear Creek School District No. Re-1,COLORADO,80452,5
Plateau Valley School District No. 50 in the county of Mesa,COLORADO,81624,4
Colorado Springs School District No. 11 in the county of E,COLORADO,80903,56
Montezuma-Cortez School District No. Re-1,COLORADO,81321,11
Fremont Re-3,COLORADO,81223,2
Creede School District,COLORADO,81130,1
Cripple Creek-Victor School District No. Re-1,COLORADO,80813,2
Crowley County School District No. Re-1-J,COLORADO,81063,2
De Beque Joint District No. 49 of the counties of Mesa and,COLORADO,81630,1
Deer Trail School District No. 26J,COLORADO,80105,2
Upper Rio Grande School District C-7,COLORADO,81132,2
Delta County Joint District No. 50,COLORADO,81416,17
School District No. 1 in the county of Denver and State of C,COLORADO,80203,207
Dolores School District No. Re-4A,COLORADO,81323,3
Dolores County School District RE-2J,COLORADO,81324,2
Douglas County School District No. Re 1,COLORADO,80108,92
Durango School District No. 9-R,COLORADO,81301,15
Kiowa County School District No. Re-1,COLORADO,81036,3
Eagle County School District No. Re 50,COLORADO,81631,20
Weld County School District No. Re-2,COLORADO,80615,5
Edison Joint District No. 54 of the counties of El Paso and,COLORADO,80864,3
Elbert School District No. 200,COLORADO,80106,2
ELIZABETH SCHOOL DISTRICT,COLORADO,80107,8
Ellicott School District No. 22 in the county of El Paso a,COLORADO,80808,3
Englewood School District No. 1 in the county of Arapahoe,COLORADO,80110,9
Estes Park School District R-3,COLORADO,80517,4
Park County School District No. Re-2,COLORADO,80440,5
El Paso County Colorado School District 49,COLORADO,80831,30
School District No. Re-3 Frenchman,COLORADO,80728,2
Fremont Re-2,COLORADO,81226,3
Poudre School District R-1,COLORADO,80521,51
Weld re-8 schools,COLORADO,80621,6
School District No. Re-3 Fort Morgan,COLORADO,80701,8
Fountain School District No. 8 in the county of El Paso an,COLORADO,80817,12
Fowler School District No. R4J,COLORADO,81039,3
Sierra Grande School District No. R-30,COLORADO,81123,1
Weld County Reorganized School District No. Re-1,COLORADO,80623,6
Gilpin County School District No. Re-1,COLORADO,80422,2
Roaring Fork School District No. Re-1,COLORADO,81601,13
Granada School District No. Re-1,COLORADO,81041,2
East Grand School District No. 2,COLORADO,80446,4
Mesa County Valley School District No. 51,COLORADO,81501,46
Grand Valley School District No. 16 in the county of Garfi,COLORADO,81635,4
GreeleySchool District No. 6 in the county of Weld and Sta,COLORADO,80631,32
School District No. Re-12 in the county of Weld and State of,COLORADO,80729,1
Gunnison Watershed School District Re1J,COLORADO,81230,7
Hanover School District No. 28 in the county of El Paso an,COLORADO,80817,3
Harrison School District No. 2 in the county of El Paso an,COLORADO,80905,27
Haxtun School District No. Re-2J,COLORADO,80731,2
Hayden School District No. Re 1,COLORADO,81639,3
Hinsdale County School District No. Re-1,COLORADO,81235,1
Hoehne Reorganized School District No. 3,COLORADO,81046,1
Holly School District No. Re-3,COLORADO,81047,1
Holyoke School District No. Re-1J,COLORADO,80734,3
Genoa-Hugo School District No. C-113,COLORADO,80821,1
Ignacio School District No. 11Jt,COLORADO,81137,3
Jefferson County School District No. R-1,COLORADO,80401,165
Weld County School District No. Re-5J,COLORADO,80543,6
Julesburg School District No. Re1,COLORADO,80737,3
Karval School District No. Re 23,COLORADO,80823,2
Weld County School District RE-3J,COLORADO,80642,7
Weld County School District No. Re-7,COLORADO,80644,3
Kim Reorganized School District No. 88,COLORADO,81049,2
School District No. C-2 in the county of Elbert and State of,COLORADO,80117,3
Kit Carson School District No. R-1,COLORADO,80825,2
West Grand School District No. 1,COLORADO,80459,2
North Conejos School District No. Re1J,COLORADO,81140,5
East Otero School District No. R1,COLORADO,81050,3
La Veta School District Re-2,COLORADO,81055,2
Lake County School District No. R-1,COLORADO,80461,5
Lamar School District No. Re-2,COLORADO,81052,6
Las Animas School District No. Re-1,COLORADO,81054,6
Limon School District No. Re 4J,COLORADO,80828,2
Littleton School District No. 6 in the county of Arapahoe,COLORADO,80120,23
Lone Star School District No. 101,COLORADO,80743,3
St. Vrain Valley School District No. Re1J,COLORADO,80501,53
Thompson School District R-2J,COLORADO,80537,33
Mancos School District Re-6,COLORADO,81328,4
Manitou Springs School District No. 14 in the county of El,COLORADO,80829,4
Manzanola Joint District No. 3J of the counties of Otero a,COLORADO,81058,2
Mapleton School District No. 1 in the county of Adams & St,COLORADO,80221,19
McClave School District No. Re-2,COLORADO,81057,2
Meeker School District Re1,COLORADO,81641,3
School District No. Re-4 Buffalo,COLORADO,80741,2
Miami-Yoder Joint District No. 60 of the counties of El Pas,COLORADO,80833,2
Moffat School District No. 2 in the county of Saguache and,COLORADO,81143,2
Moffat County School District RE: No. 1,COLORADO,81625,7
Monte Vista School District No. C-8,COLORADO,81144,6
Montrose County School District Re-1J,COLORADO,81402,14
Lewis-Palmer Consolidated School District No. 38 in the co,COLORADO,80132,9
West End School District No. Re-2,COLORADO,81424,4
Norwood School District No. R-2J,COLORADO,81423,1
South Routt School District No. Re 3,COLORADO,80467,4
Otis School District No. R-3,COLORADO,80743,2
Ouray School District No. R-1 of  the county of Ouray and,COLORADO,81427,3
Revere School District,COLORADO,80744,2
School District No. Re-5 Plateau,COLORADO,80747,2
Peyton School District No. 23 in the county of El Paso and,COLORADO,80831,4
Pritchett School District No. Re-3,COLORADO,81064,3
Pueblo School District No. 60 in the county of Pueblo and,COLORADO,81003,34
Pueblo County School District 70,COLORADO,81001,26
Rangely School District RE4,COLORADO,81648,2
Ridgway School District No. R-2  of  the county of Ouray a,COLORADO,81432,3
Garfield School District No. Re-2,COLORADO,81650,10
Rocky Ford School District No. R2,COLORADO,81067,3
Mountain Valley School District No. Re 1,COLORADO,81149,1
Salida School District No. R-32,COLORADO,81201,6
Centennial School District No. R-1,COLORADO,81152,1
Sanford School District No. 6 in the county of Conejos and,COLORADO,81151,2
Sangre de Cristo School District No. Re-22J,COLORADO,81146,2
Sargent School District No. Re-33J,COLORADO,81144,3
School District No. 3 in the county of El Paso and State of,COLORADO,80911,17
Hi-Plains R-23,COLORADO,80834,1
Sheridan School District No. 2,COLORADO,80150,5
Silverton School District No. 1 in the county of San Juan,COLORADO,81433,3
Big Sandy School District No. 100J,COLORADO,80835,3
Springfield School District No. Re-4,COLORADO,81073,2
Steamboat Springs School District No. Re 2,COLORADO,80487,7
School District No. Re-1 Valley,COLORADO,80751,7
School District No. Re-11 in the county of Weld and State of,COLORADO,80742,2
Strasburg School District 31J,COLORADO,80136,4
School District No. R-4 in the county of Kit Carson and Stat,COLORADO,80836,3
Summit School District No. Re 1,COLORADO,80443,9
Swink School District No. 33 in the county of Otero and St,COLORADO,81077,2
Telluride School District No. R-1,COLORADO,81435,4
Adams 12 Five Star Schools,COLORADO,80241,53
Kiowa County School District No. Re-2,COLORADO,81071,2
Trinidad School District 1 in the county of Las Animas and,COLORADO,81082,4
Vilas School District Re-5,COLORADO,81087,2
North Park School District R-1,COLORADO,80480,1
Huerfano School District Re-1,COLORADO,81089,3
Walsh School District No. Re-1,COLORADO,81090,2
School District No. Re-20 Weldon Valley,COLORADO,80653,2
Custer County School District Consolidate 1,COLORADO,81252,3
Westminster Public Schools,COLORADO,80030,20
Primero Reorganized School District No. 2,COLORADO,81091,2
School District No. Re-50 Wiggins,COLORADO,80654,3
Wiley School District No. Re-13 Jt,COLORADO,81092,2
Weld County Reorganized School District No. Re-4,COLORADO,80550,12
Woodland Park School District No. Re-2,COLORADO,80866,5
Woodlin School District No. R-104,COLORADO,80757,2
East Central BOCES,COLORADO,80828,0
Mountain BOCES,COLORADO,80461,0
Northeast BOCES,COLORADO,80731,0
Centennial BOCES,COLORADO,80634,2
Northwest Colo BOCES,COLORADO,80477,0
Pikes Peak BOCES,COLORADO,80906,0
Rio Blanco BOCES,COLORADO,81648,0
San Juan boces,COLORADO,81303,1
San Luis Valley BOCES,COLORADO,81101,0
South Central BOCES,COLORADO,81007,0
Southeastern BOCES,COLORADO,81052,0
Office of Early Childhood,CONNECTICUT,6106,0
Connecticut Technical Education and Career System,CONNECTICUT,6105,17
Unified School District #1,CONNECTICUT,6109,0
Unified School District #2,CONNECTICUT,6106,0
Regional School District 19,CONNECTICUT,6268,1
Jumoke Academy District,CONNECTICUT,6105,1
Odyssey Community School District,CONNECTICUT,6040,1
Integrated Day Charter School District,CONNECTICUT,6360,1
Interdistrict School for Arts and Comm District,CONNECTICUT,6320,1
Common Ground High School District,CONNECTICUT,6515,1
The Bridge Academy District,CONNECTICUT,6608,1
Side By Side Charter School District,CONNECTICUT,6854,1
Explorations District,CONNECTICUT,6098,1
Trailblazers Academy District,CONNECTICUT,6901,0
Amistad Academy District,CONNECTICUT,6513,1
Department of Social Services,CONNECTICUT,6106,0
Department of Mental Health and Addiction Services,CONNECTICUT,6134,0
New Beginnings Inc Family Academy District,CONNECTICUT,6605,1
Andover School District,CONNECTICUT,6232,1
Stamford Academy District,CONNECTICUT,6901,1
Park City Prep Charter School District,CONNECTICUT,6605,1
Ansonia School District,CONNECTICUT,6401,4
Area Cooperative Educational Services,CONNECTICUT,6473,2
Ashford School District,CONNECTICUT,6278,1
Avon School District,CONNECTICUT,6001,5
Barkhamsted School District,CONNECTICUT,6063,1
Highville Charter School District,CONNECTICUT,6511,1
Achievement First Bridgeport Academy District,CONNECTICUT,6513,1
Berlin School District,CONNECTICUT,6037,5
Achievement First Hartford Academy District,CONNECTICUT,6513,1
Elm City College Preparatory School District,CONNECTICUT,6513,1
Brass City Charter School District,CONNECTICUT,6710,1
Elm City Montessori School District,CONNECTICUT,6515,1
Booker T. Washington Academy District,CONNECTICUT,6511,1
Great Oaks Charter School District,CONNECTICUT,6605,1
Stamford Charter School for Excellence District,CONNECTICUT,6902,1
Capital Preparatory Harbor School District,CONNECTICUT,6604,1
Judicial Centers,CONNECTICUT,6109,0
Bethany School District,CONNECTICUT,6524,1
Bethel School District,CONNECTICUT,6801,5
Bloomfield School District,CONNECTICUT,6002,8
Bolton School District,CONNECTICUT,6043,2
Bozrah School District,CONNECTICUT,6334,1
Branford School District,CONNECTICUT,6405,5
Bridgeport School District,CONNECTICUT,6604,36
Bristol School District,CONNECTICUT,6011,13
Brookfield School District,CONNECTICUT,6804,4
Brooklyn School District,CONNECTICUT,6234,2
Canaan School District,CONNECTICUT,6031,1
Canterbury School District,CONNECTICUT,6331,2
Canton School District,CONNECTICUT,6022,4
Capitol Region Education Council,CONNECTICUT,6106,16
Chaplin School District,CONNECTICUT,6235,1
Cheshire School District,CONNECTICUT,6410,7
Chester School District,CONNECTICUT,6417,1
Clinton School District,CONNECTICUT,6413,3
Colchester School District,CONNECTICUT,6415,4
Colebrook School District,CONNECTICUT,6021,1
Columbia School District,CONNECTICUT,6237,1
Cooperative Educational Services,CONNECTICUT,6611,1
Cornwall School District,CONNECTICUT,6031,1
Coventry School District,CONNECTICUT,6238,4
Cromwell School District,CONNECTICUT,6416,4
Danbury School District,CONNECTICUT,6810,18
Darien School District,CONNECTICUT,6820,7
Deep River School District,CONNECTICUT,6417,1
Derby School District,CONNECTICUT,6418,5
East Granby School District,CONNECTICUT,6026,4
East Haddam School District,CONNECTICUT,6469,3
East Hampton School District,CONNECTICUT,6424,4
East Hartford School District,CONNECTICUT,6108,12
East Haven School District,CONNECTICUT,6513,8
East Lyme School District,CONNECTICUT,6333,5
East Windsor School District,CONNECTICUT,6088,3
Eastern Connecticut Regional Educational Service Center,CONNECTICUT,6247,3
Eastford School District,CONNECTICUT,6242,1
Easton School District,CONNECTICUT,6612,2
Ellington School District,CONNECTICUT,6029,5
Enfield School District,CONNECTICUT,6082,10
Essex School District,CONNECTICUT,6417,1
Fairfield School District,CONNECTICUT,6825,16
Farmington School District,CONNECTICUT,6032,7
Franklin School District,CONNECTICUT,6254,1
Glastonbury School District,CONNECTICUT,6033,8
Granby School District,CONNECTICUT,6035,4
Greenwich School District,CONNECTICUT,6830,15
Griswold School District,CONNECTICUT,6351,4
Groton School District,CONNECTICUT,6340,9
Guilford School District,CONNECTICUT,6437,7
Hamden School District,CONNECTICUT,6517,10
Hampton School District,CONNECTICUT,6247,1
Hartford School District,CONNECTICUT,6103,38
Hartland School District,CONNECTICUT,6027,1
Hebron School District,CONNECTICUT,6248,2
Kent School District,CONNECTICUT,6031,1
Killingly School District,CONNECTICUT,6239,4
Lebanon School District,CONNECTICUT,6249,3
Ledyard School District,CONNECTICUT,6339,5
Lisbon School District,CONNECTICUT,6351,1
Litchfield School District,CONNECTICUT,6759,4
Madison School District,CONNECTICUT,6443,5
Manchester School District,CONNECTICUT,6042,10
Mansfield School District,CONNECTICUT,6268,4
Marlborough School District,CONNECTICUT,6447,1
Meriden School District,CONNECTICUT,6450,12
Middletown School District,CONNECTICUT,6457,11
Milford School District,CONNECTICUT,6460,13
Monroe School District,CONNECTICUT,6468,5
Montville School District,CONNECTICUT,6370,5
Naugatuck School District,CONNECTICUT,6770,9
New Britain School District,CONNECTICUT,6050,14
New Canaan School District,CONNECTICUT,6840,5
New Fairfield School District,CONNECTICUT,6812,4
New Hartford School District,CONNECTICUT,6057,3
New Haven School District,CONNECTICUT,6519,39
New London School District,CONNECTICUT,6320,8
New Milford School District,CONNECTICUT,6776,5
Newington School District,CONNECTICUT,6111,7
Newtown School District,CONNECTICUT,6470,7
Norfolk School District,CONNECTICUT,6058,1
North Branford School District,CONNECTICUT,6472,4
North Canaan School District,CONNECTICUT,6031,1
North Haven School District,CONNECTICUT,6473,6
North Stonington School District,CONNECTICUT,6359,2
Norwalk School District,CONNECTICUT,6852,21
Norwich School District,CONNECTICUT,6360,10
Old Saybrook School District,CONNECTICUT,6475,3
Orange School District,CONNECTICUT,6477,4
Oxford School District,CONNECTICUT,6478,4
Plainfield School District,CONNECTICUT,6374,5
Plainville School District,CONNECTICUT,6062,5
Plymouth School District,CONNECTICUT,6786,4
Pomfret School District,CONNECTICUT,6259,1
Portland School District,CONNECTICUT,6480,5
Preston School District,CONNECTICUT,6365,2
Learn,CONNECTICUT,6371,7
Putnam School District,CONNECTICUT,6260,3
Redding School District,CONNECTICUT,6612,2
EDUCATION CONNECTION,CONNECTICUT,6810,0
Regional School District 06,CONNECTICUT,6759,4
Regional School District 10,CONNECTICUT,6013,4
Regional School District 12,CONNECTICUT,6794,4
Regional School District 13,CONNECTICUT,6422,5
Regional School District 14,CONNECTICUT,6798,4
Regional School District 15,CONNECTICUT,6762,7
Regional School District 16,CONNECTICUT,6712,4
Regional School District 17,CONNECTICUT,6441,5
Regional School District 18,CONNECTICUT,6371,5
Regional School District 11,CONNECTICUT,6235,1
Regional School District 01,CONNECTICUT,6031,1
Regional School District 04,CONNECTICUT,6417,2
Regional School District 05,CONNECTICUT,6525,3
Regional School District 07,CONNECTICUT,6098,2
Regional School District 08,CONNECTICUT,6248,2
Regional School District 09,CONNECTICUT,6612,1
Ridgefield School District,CONNECTICUT,6877,9
Rocky Hill School District,CONNECTICUT,6067,5
Salem School District,CONNECTICUT,6420,1
Salisbury School District,CONNECTICUT,6031,1
Scotland School District,CONNECTICUT,6264,1
Seymour School District,CONNECTICUT,6483,4
Sharon School District,CONNECTICUT,6069,1
Shelton School District,CONNECTICUT,6484,8
Sherman School District,CONNECTICUT,6784,1
Simsbury School District,CONNECTICUT,6070,7
Somers School District,CONNECTICUT,6071,3
South Windsor School District,CONNECTICUT,6074,6
Southington School District,CONNECTICUT,6489,13
Sprague School District,CONNECTICUT,6330,1
Stafford School District,CONNECTICUT,6076,5
Stamford School District,CONNECTICUT,6901,21
Sterling School District,CONNECTICUT,6377,1
Stonington School District,CONNECTICUT,6372,4
Stratford School District,CONNECTICUT,6615,13
Suffield School District,CONNECTICUT,6078,4
Thomaston School District,CONNECTICUT,6787,3
Thompson School District,CONNECTICUT,6255,3
Tolland School District,CONNECTICUT,6084,4
Torrington School District,CONNECTICUT,6790,6
Trumbull School District,CONNECTICUT,6611,9
Union School District,CONNECTICUT,6076,1
Vernon School District,CONNECTICUT,6066,7
Voluntown School District,CONNECTICUT,6384,1
Wallingford School District,CONNECTICUT,6492,12
Waterbury School District,CONNECTICUT,6702,29
Waterford School District,CONNECTICUT,6385,5
Watertown School District,CONNECTICUT,6795,5
West Hartford School District,CONNECTICUT,6107,16
West Haven School District,CONNECTICUT,6516,9
Westbrook School District,CONNECTICUT,6498,3
Weston School District,CONNECTICUT,6883,4
Westport School District,CONNECTICUT,6880,7
Wethersfield School District,CONNECTICUT,6109,7
Willington School District,CONNECTICUT,6279,2
Wilton School District,CONNECTICUT,6897,4
Winchester School District,CONNECTICUT,6098,2
Windham School District,CONNECTICUT,6226,7
Windsor School District,CONNECTICUT,6095,6
Windsor Locks School District,CONNECTICUT,6096,4
Wolcott School District,CONNECTICUT,6716,5
Woodbridge School District,CONNECTICUT,6525,1
Woodstock School District,CONNECTICUT,6281,2
Norwich Free Academy District,CONNECTICUT,6360,1
The Gilbert School District,CONNECTICUT,6098,1
The Woodstock Academy District,CONNECTICUT,6281,1
Charter School of Wilmington,DELAWARE,19807,1
Positive Outcomes Charter School,DELAWARE,19934,1
East Side Charter School,DELAWARE,19802,1
Campus Community School,DELAWARE,19904,1
Edison (Thomas A.) Charter School,DELAWARE,19802,1
Sussex Academy,DELAWARE,19947,1
Kuumba Academy Charter School,DELAWARE,19801,1
Newark Charter School,DELAWARE,19711,1
Delaware Military Academy,DELAWARE,19804,1
Academy of Dover Charter School,DELAWARE,19904,1
Providence Creek Academy Charter School,DELAWARE,19938,1
MOT Charter School,DELAWARE,19709,1
Delaware Adolescent Program Inc. (DAPI),DELAWARE,19711,0
Corrections - DOE,DELAWARE,19904,0
Dept. of Svs. for Children Youth & Their Families,DELAWARE,19805,0
Charter School of New Castle,DELAWARE,19720,1
Odyssey Charter School,DELAWARE,19805,1
Las Americas Aspira Academy,DELAWARE,19711,1
Gateway Lab School,DELAWARE,19808,1
Academia Antonia Alonso,DELAWARE,19805,1
First State Montessori Academy,DELAWARE,19801,1
Early College High School at Del State,DELAWARE,19901,1
Design Thinking Academy,DELAWARE,19702,0
First State Military Academy,DELAWARE,19938,1
Freire Charter School Wilmington,DELAWARE,19801,1
Great Oaks Charter School,DELAWARE,19801,1
Sussex Montessori School,DELAWARE,19720,0
Appoquinimink School District,DELAWARE,19730,17
